"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7471","should provide ability to search for course and filter results","chromium","Fri May 16 14:10:44 UTC 2025","passed","Fri May 16 14:10:51 UTC 2025","Alison platform","playwright/e2e/Courses/Search_and_Filter/productBuyingProcess.spec.ts","",""
"","10964","should provide course details and ability to start learning","chromium","Fri May 16 14:10:44 UTC 2025","passed","Fri May 16 14:10:55 UTC 2025","Course page","playwright/e2e/Courses/Course_Page/courseDetailsAndStartLearning.spec.ts","",""
